genome	metagenome	mapped_reads	coverage_mean	coverage_sd	genome_length_bp	genome_num_contigs	metagenome_total_reads
L227_S_6D.003	L304_S_6D	112	0.00225122799876043	0.128613816089998	5660022	160	10246102
L227_S_6D.003	L227-2013-6m	176	0.00521729420839707	0.0973715827283351	5660022	160	53941731
L227_S_6D.003	L442-2014-15m	0	NA	NA	5660022	160	54406863
L227_S_6D.003	L227-2013-8m	1334	0.0394247584196669	0.31056188018502	5660022	160	53941011
L227_S_6D.003	L227-2014-8m	380	0.0106404180054424	0.150214044559989	5660022	160	51774711
L227_S_6D.003	L227-2014-6m	956	0.0285027160671814	0.339825705095748	5660022	160	77902434
L227_S_6D.003	L227_S_6D	1389401	29.6798360501072	8.44574439390364	5660022	160	11560348
L227_S_6D.003	L442-2011-16-5m	0	NA	NA	5660022	160	61146180
L227_S_6D.002	L304_S_6D	30	0.00054235511793057	0.0341919047323167	5999759	93	10246102
L227_S_6D.002	L227-2013-6m	5090	0.134118720435271	0.506438778178457	5999759	93	53941731
L227_S_6D.002	L442-2014-15m	22	0.000631025346184738	0.0316223890413826	5999759	93	54406863
L227_S_6D.002	L227-2013-8m	50356	1.35952727434552	1.88190187673125	5999759	93	53941011
L227_S_6D.002	L227-2014-8m	26583	0.694727738230819	1.23952499977564	5999759	93	51774711
L227_S_6D.002	L227-2014-6m	80785	2.21304222386266	2.54644930014167	5999759	93	77902434
L227_S_6D.002	L227_S_6D	1994062	39.9958861680944	9.04942353912178	5999759	93	11560348
L227_S_6D.002	L442-2011-16-5m	44	0.00117104703705599	0.048339662304835	5999759	93	61146180
