WP_012508992.1,CA-L227-2013_58483_7,85.586,1.9e-70,100.0,202.0
WP_012508987.1,CA-L227-2013_58483_12,90.756,1.66e-78,100.0,223.0
WP_012508980.1,CA-L227-2013_58483_19,64.341,7.21e-129,100.0,362.0
WP_012508980.1,CA-L227-2013_26972_3,42.512,1.36e-47,80.0,161.0
WP_012508989.1,CA-L227-2013_58483_10,82.149,0.0,99.0,1019.0
WP_012508062.1,CA-L227-2013_147380_17,90.244,0.0,100.0,1241.0
WP_012508994.1,CA-L227-2013_58483_5,85.897,7.06e-48,100.0,142.0
WP_012508982.1,CA-L227-2013_58483_17,87.823,0.0,99.0,1012.0
WP_012508993.1,CA-L227-2013_58483_6,67.92,0.0,99.0,634.0
WP_041526868.1,CA-L227-2013_58483_13,86.508,4.3e-72,100.0,207.0
WP_012508991.1,CA-L227-2013_58483_8,86.571,0.0,100.0,774.0
WP_012508990.1,CA-L227-2013_58483_9,91.086,0.0,100.0,708.0
WP_012508985.1,CA-L227-2013_58483_14,74.227,6.99e-52,100.0,154.0
WP_012508571.1,CA-L227-2013_4365_2,95.105,0.0,100.0,1139.0
WP_012508102.1,CA-L227-2013_177854_14,90.702,0.0,100.0,935.0
WP_012508570.1,CA-L227-2013_4365_1,85.903,2.42e-150,100.0,414.0
WP_012506869.1,CA-L227-2013_85055_12,84.419,0.0,100.0,739.0
WP_012506867.1,CA-L227-2013_85055_14,70.588,1.72e-54,100.0,161.0
WP_012508569.1,CA-L227-2013_151003_1,79.452,7.15e-86,75.0,246.0
WP_012508981.1,CA-L227-2013_58483_18,48.819,5.16e-45,98.0,139.0
WP_012508979.1,CA-L227-2013_58483_20,45.455,7.18e-105,100.0,310.0
WP_012506868.1,CA-L227-2013_85055_13,66.667,6.25e-62,100.0,182.0
WP_012506866.1,CA-L227-2013_85055_15,61.157,2.14e-53,83.0,161.0
WP_012508983.1,CA-L227-2013_58483_16,72.81,0.0,100.0,517.0
WP_012508059.1,CA-L227-2013_147380_14,84.179,0.0,99.0,604.0
WP_012508058.1,CA-L227-2013_147380_13,92.989,0.0,100.0,529.0
WP_012508984.1,CA-L227-2013_58483_15,51.282,8.51e-53,100.0,161.0
WP_012508572.1,CA-L227-2013_4365_3,90.884,0.0,100.0,640.0
WP_012508060.1,CA-L227-2013_147380_15,80.435,3.58e-172,100.0,473.0
