WP_012508992.1,CA-L442_244829_20,81.982,1.08e-68,100.0,197.0
WP_012508987.1,CA-L442_244829_25,89.916,1.51e-78,100.0,223.0
WP_012508980.1,CA-L442_244829_32,62.403,2.08e-121,100.0,343.0
WP_012508980.1,CA-L442_244829_11,42.029,9.24e-47,80.0,159.0
WP_012508989.1,CA-L442_244829_23,80.796,0.0,100.0,1001.0
WP_012508062.1,CA-L442_263793_9,86.128,0.0,100.0,1199.0
WP_012508994.1,CA-L442_244829_17,88.462,1.42e-48,100.0,144.0
WP_012508982.1,CA-L442_244829_30,85.455,0.0,100.0,1005.0
WP_012508993.1,CA-L442_244829_18,67.912,0.0,100.0,637.0
WP_041526868.1,CA-L442_244829_26,88.43,7.1e-77,96.0,219.0
WP_012508991.1,CA-L442_244829_21,86.811,0.0,100.0,767.0
WP_012508990.1,CA-L442_244829_22,90.251,0.0,100.0,693.0
WP_012508985.1,CA-L442_244829_27,69.072,8.46e-50,100.0,149.0
WP_012508571.1,CA-L442_352806_27,92.657,0.0,100.0,1115.0
WP_012508570.1,CA-L442_352806_28,88.987,5.14e-155,100.0,425.0
WP_012506869.1,CA-L442_368698_9,78.605,0.0,100.0,684.0
WP_012506867.1,CA-L442_368698_11,64.706,9.38e-50,100.0,149.0
WP_012508569.1,CA-L442_352806_29,77.707,1.19e-90,81.0,258.0
WP_012508979.1,CA-L442_244829_33,46.429,2.94e-96,99.0,286.0
WP_012506868.1,CA-L442_368698_10,56.667,7.71e-47,97.0,143.0
WP_012506866.1,CA-L442_368698_12,57.534,1.38e-56,100.0,169.0
WP_012508983.1,CA-L442_244829_29,69.789,2.71e-180,100.0,498.0
WP_012508059.1,CA-L442_263793_12,83.976,0.0,100.0,610.0
WP_012508058.1,CA-L442_263793_13,88.192,0.0,100.0,514.0
WP_012508572.1,CA-L442_352806_26,90.141,0.0,98.0,636.0
WP_012508060.1,CA-L442_263793_11,74.275,1.76e-162,100.0,448.0
